original_sheet,table_name,rows,columns,column_names
II_ER_caracterizacion,site_er_characterization,54,10,"site, phenotype, latitude, longitude, altitude, dbh, base_diameter, larger_diameter, minor_diameter, height"
II_ER_ndvi_evi,site_er_ndvi_evi_indices,2296,8,"site, phenotype, latitude, longitude, year, date, ndvi, evi"
II_Rubi,site_rubi_coordinates,26,2,"latitude, longitude"
II_ER_CAR,site_er_tree_dendrometry,54,6,"col_0, dbh, base_diameter, larger_diameter, minor_diameter, height"
II_Cor_poblaciones,site_concordia_populations,2,3,"concordia, num_31_2968885620915, num_57_967029575163394"
II_ER_clima,climate_er_monthly_summary,48,9,"site, month, t_mean, t_min, t_max, pp_mean, hr_mean, dwp_mean, sun_hours"
II_ER_SMN,climate_er_smn_daily_records,3186,28,"site, year, month, date_long, date_short, temp, hr, wind, prec, dew_point_at_station_elevation, hidden_temp_var_1_for_ffmc, hidden_temp_var_2_for_ffmc, ffmc, hidden_temp_var_2_for_dmc, dmc, d, v, do, do_2, dr1, qr, qo, rd, fl, dc, isi, bui, fwi"
II_ER_SMN_G2023,climate_er_smn_gualeguaychu_2023,5789,6,"fecha, temp, hum, pnm, dd, ff"
II_ER_par,climate_er_photosynthetically_active_radiation,183,14,"date, site, phenotype, num_1, num_2, num_3, num_4, num_5, num_6, num_7, num_8, num_9, hour, outside"
II_ER_DL,climate_er_day_length,13608,9,"year, site, number, date, date_complete, hour, temp, hr, temp_soil"
II_M_inta,climate_moreno_inta_weather_records,1461,29,"year, month, date, date_complete, number, temp_abr, tem_abr_max, temp_abr_min, temp_soil, temperatura_intemperie_150cm_minima, pp_pluv, pp_cron, precipitacion_maxima_30minutos, heliofania_efectiva, heliofania_relativa, tesion_vapor_media, humedad_media, humedad_media_8_14_20, rocio_medio, duracion_follaje_mojado, velocidad_viento_200cm_media, direccion_viento_200cm, velocidad_viento_1000cm_media, direccion_viento_1000cm, velocidad_viento_maxima, presion_media, radiacion_global, horas_frio, unidades_frio"
II_M_completa,climate_moreno_weather_complete,4372,5,"date, temp, temp_max, temp_min, temperatura_media"
II_M_heladas,climate_moreno_frost_events,48,3,"month, year, heladas"
II asociated,ecology_associated_species_census,39,41,"reg, censo, acacia_caven, allophyllus_edulis, anredera_cordifolia, asparagus_setaceus, blepharocalyx_salicifolius, buddleja_globosa, butia_yatay, celtis_iguanaea, celtis_tala, clematis_montevidensis, crataegus_oxyacantha, ephedra_twediana, erythrina_crista_galli, eugenia_uniflora, eugenia_uruguayensis, fuchsia_magellanica, heterothalamus_alienus, ipomea_sp, ipomoea_cairica, juncus_acutus, ligustrum_lucidum, ligustrum_sinensis, maytenus_ilicifolius, mimosa_pilulifera, muehlenbeckia_sagittifolia, myrrhinium_atropurpureum, myrsine_laetevirens, myrtus_mucronatum, pavonia_hastata, pavonia_malvacea, populus_nigra, pouteria_salicifolia, schinus_longifolius, schinus_molle, scutia_buxifolia, sebastiania_brasiliensis, solanum_jazminoides, solanum_mauritianum, stigmaphyllon_bonarense"
II forest,ecology_forest_cover_evolution,31,3,"year, area, percentage"
II aquaterr,ecology_aquatic_terrestrial_transition,387,6,"site, phenotype, date, cardinal_point, moisture_origin, moisture"
II suelo,ecology_soil_properties_entre_rios,21,11,"sitio, micrositio, ce, h2o_saturacion, ph_agua, ph_cacl2, ph_kcl, mo, co, no, c_n"
II soil_density,ecology_soil_bulk_density,78,8,"site, phenotype, date, rep, weight_fresh, weight_fresh_2, weight_dry, hpct"
II companion2,ecology_companion_species_detailed,238,6,"site, census, species, native, family, abundancy"
II discriminant,ecology_discriminant_analysis,39,7,"site, census, axis_1, axis_2, species, axis_sp1, axis_sp2"
II companion,ecology_companion_species_occurrences,39,41,"reg, censo, acacia_caven, allophyllus_edulis, anredera_cordifolia, asparagus_setaceus, blepharocalyx_salicifolius, buddleja_globosa, butia_yatay, celtis_iguanaea, celtis_tala, clematis_montevidensis, crataegus_oxyacantha, ephedra_twediana, erythrina_crista_galli, eugenia_uniflora, eugenia_uruguayensis, fuchsia_magellanica, heterothalamus_alienus, ipomea_sp, ipomoea_cairica, juncus_acutus, ligustrum_lucidum, ligustrum_sinensis, maytenus_ilicifolius, mimosa_pilulifera, muehlenbeckia_sagittifolia, myrrhinium_atropurpureum, myrsine_laetevirens, myrtus_mucronatum, pavonia_hastata, pavonia_malvacea, populus_nigra, pouteria_salicifolia, schinus_longifolius, schinus_molle, scutia_buxifolia, sebastiania_brasiliensis, solanum_jazminoides, solanum_mauritianum, stigmaphyllon_bonarense"
II companion_pa,ecology_companion_presence_absence,39,43,"reg, censo, acacia_caven, allophyllus_edulis, anredera_cordifolia, asparagus_setaceus, blepharocalyx_salicifolius, buddleja_globosa, butia_yatay, celtis_iguanaea, celtis_tala, clematis_montevidensis, crataegus_oxyacantha, ephedra_twediana, erythrina_crista_galli, eugenia_uniflora, eugenia_uruguayensis, fuchsia_magellanica, heterothalamus_alienus, ipomea_sp, ipomoea_cairica, juncus_acutus, ligustrum_lucidum, ligustrum_sinensis, maytenus_ilicifolius, mimosa_pilulifera, muehlenbeckia_sagittifolia, myrrhinium_atropurpureum, myrsine_laetevirens, myrtus_mucronatum, pavonia_hastata, pavonia_malvacea, populus_nigra, pouteria_salicifolia, schinus_longifolius, schinus_molle, scutia_buxifolia, sebastiania_brasiliensis, solanum_jazminoides, solanum_mauritianum, stigmaphyllon_bonarense, xx1, xx2"
II antro,ecology_anthropogenic_influence,40,2,"site, anthropic_ia"
II bio_index,ecology_biodiversity_indices_alpha,39,15,"site, censo, n_species, n_individuals, dominance_d, simpson_1d, shannon_h, evenness_ehs, brillouin, menhinick, margalef, equitability_j, fisher_alpha, berger_parker, chao_1"
II bio_index2,ecology_biodiversity_indices_beta,15,7,"site, variable, n, mean, sd, min, max"
II bio_index3,ecology_biodiversity_indices_gamma,39,16,"site, censo, richness, abundance, dominance_d, simpson_1d, shannon_h, evenness_ehs, brillouin, menhinick, margalef, equitability_j, fisher_alpha, berger_parker, chao_1, anthropic_ia"
III_federacion,phenology_federacion_site,24,8,"site, month, med, min, max, rain, hum, sun"
III_fenologia,phenology_developmental_stages,93,4,"year, date, fen, var"
III poliniza,pollination_experiments_seed_set,5,2,"tratamiento, ef"
III polin,pollination_rates,100,4,"tra, total, fin, prop"
III rendmor,yield_moreno_annual_records,135,7,"year, acc, week, date, n, p, np"
III rendmor2,yield_moreno_plant_observations,45,3,"year, acc, p"
III modelo_rend,yield_prediction_models,15,3,"accesion, altura, dap"
III Modelos ST,yield_thermal_sum_regression_models,25,4,"mes_inicio, col_1, inicio_de_floracion, plena_floracion"
IV madurez,maturity_physical_chemical_stages,40,23,"madurez, pff, dem, dem_2, dp, psf, h, ns, pss, psspsf, pssc, de, col_12, col_13, col_14, col_15, col_16, col_17, col_18, col_19, col_20, col_21, col_22"
mad_color,maturity_cie_lab_colorimetry,16,7,"madurez, color_l, color_a, color_b, col_4, col_5, col_6"
mad_aaox,maturity_antioxidant_activity,48,5,"trata, muestra, conc, in, pip"
mad_phenols,maturity_total_polyphenols,12,7,"madurez, fenoles, brix, ph, acidez, ratio, fenoles_ps"
mad_Acids,maturity_organic_acids_profile,24,10,"mad, rep, sucrose, glucose, fructose, tartaric, malic, quinic, succinic, glufru"
mad_CHac,maturity_soluble_carbohydrates,252,7,"car, mad, rep, cons, conf, h, ps"
mad_Almi,maturity_starch_content,12,3,"mad, starch, starchs"
